feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_13,feature_16,feature_17,feature_18,feature_19,feature_20,feature_22,feature_23,feature_24,target
-0.90847,-2.93193,-1.12708,2.80221,-1.0816,1.62769,-0.34341,-1.37646,0.51192,-0.36829,0.96476,0.69189,0.5701,0.90714,0.30296,1.70707,0.24574,-0.13489,-0.82174,3.43509,1.16228,0
2.94995,2.89561,0.58516,-3.04803,0.20474,-2.65422,0.62996,1.47119,-2.67134,-1.5481,0.59968,0.24893,-0.7348,1.1539,1.80951,2.01053,0.5609719999999999,-4.13335,-3.37568,-6.24813,0.603756,0
1.381216,0.14876,4.58815,-7.31995,-2.40817,4.08179,0.05168,0.81245,-1.56102,2.98018,0.06375,2.71611,0.94772,0.35806,1.04691,1.16013,0.5027,-2.79151,-0.77658,-1.93783,-0.51216,0
-2.55595,-1.50213,-4.14283,7.93003,-0.20387,0.372124,-0.37459,0.74938,-3.81879,-3.54825,-0.20613,0.03804,-1.31747,-0.37496,0.92453,4.52673,0.803248,5.53372,-4.39488,3.63569,0.67805,0
0.68952,-0.432848,2.36788,-2.21513,-1.59945,2.41751,0.30989,0.83498,-2.73163,1.12439,0.17658,-0.65477,-1.45639,-3.19505,1.69781,0.95049,-0.48174,1.03569,-1.23737,0.41434,-0.16624,0
-2.51045,-0.29554,2.03695,-1.8706,-2.70502,0.12559,-1.07048,-4.7643,2.53726,0.46093,0.54753,-0.31576,0.86329,0.50815,0.47211,-5.15128,0.14983,-3.9912,0.14024,5.51372,3.53242,0
-3.03917,0.44644,-1.55737,1.89318,4.22819,3.066008,1.79911,-1.19857,-1.69398,-2.62947,1.18529,3.05575,-0.43161,0.26366,-0.66187,3.95957,-0.85905,1.9663,-7.00215,7.76747,-0.12534,0
1.10502,0.44664,1.07636,1.27322,0.01413,-2.200966,0.52239,1.21427,-0.90661,-0.43396,-0.59502,1.00268,2.65485,-0.40629,0.11628,0.4321,0.23666199999999998,-1.01929,1.41921,-0.51407,2.2072740000000004,0
-0.70255,0.3096,3.59229,-2.77812,1.84911,-0.81957,0.26399,1.85498,-3.2853,1.08236,-1.5054,-0.92812,0.15684,-0.17626,-1.00424,-2.03528,1.77806,3.67037,-0.79475,-1.2262,-0.8496,0
-1.41197,0.26384,2.49966,-4.71677,3.14962,-1.28954,0.40738,-2.74618,-3.66399,0.18464,-1.6268,0.25923,-0.95591,0.45721,1.83006,-5.29377,-0.62957,1.6462,-7.14382,2.08335,-1.81419,1
2.01817,1.49953,0.87829,1.17846,1.55818,-1.4704959999999998,-1.49292,2.93807,-0.68534,-1.70252,1.02961,-0.1281,0.48426,-2.27039,-0.97159,4.56147,-0.9533059999999999,-2.81615,1.16041,-1.8252,1.85905,0
-4.75371,-1.8646,-1.64104,3.57686,2.78326,-0.22884599999999997,-0.48405,-0.28239,0.53542,-0.01088,-2.39368,1.23119,-0.4996,-0.56536,-1.49948,-2.78476,0.35329,7.07602,0.13597,2.24288,0.657208,1
-3.60143,-0.4440340000000001,0.06593,0.21017,0.28207,1.3904,0.31448,-0.7183,-0.74015,0.14118,0.13827,-0.99288,0.80604,0.46299,-0.05504,-2.03476,-0.14839200000000002,5.03226,-1.18932,3.21331,-0.96285,0
0.32155,1.99427,1.08259,-3.32521,-2.51492,2.66375,0.23843,-0.45694,-3.57965,-1.18517,0.52148,0.39095,0.24634,-0.81836,0.86995,1.79069,0.45103,-0.75981,-4.94024,0.97141,-0.334086,0
-0.87175,-1.76901,3.13181,-1.08148,-3.40865,-2.77738,-0.25124,0.34403,-3.39739,-1.35491,-0.38922,-1.53112,0.4827,-0.90879,0.72409,-3.67025,0.7297,3.50547,1.26048,-1.95328,-0.60614,0
-1.48258,0.26652599999999993,4.59154,-5.16671,-1.66186,1.97479,0.30669,2.03996,-2.66178,4.21547,0.96402,-1.48045,-0.09983,-1.34455,0.48303,-2.54265,0.81881,3.89722,0.3675,-2.89979,-0.37546,0
0.52138,-0.51372,2.77465,-2.27197,-1.33323,-3.01462,1.757,0.80387,-4.91384,-0.63159,1.84662,-0.3799,1.66796,1.31534,0.49305,-2.67686,-0.0484,2.26125,-2.19473,-3.64173,-0.90752,0
-0.13695,1.66743,1.56354,-2.88257,1.24676,-0.7728220000000001,-0.87505,2.00428,-4.94781,-0.90825,-1.72705,0.45804,-0.7699,-2.03166,-0.0595,0.55332,-0.42841,2.83989,-4.59184,-3.48085,-1.97342,0
