estimator,preprocessor,metric,best_score,run_datetime,random_state,param_C,param_algorithm,param_bagging_fraction,param_colsample_bytree,param_criterion,param_feature_fraction,param_gamma,param_kernel,param_leaf_size,param_learning_rate,param_max_depth,param_max_features,param_max_iter,param_metric,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_n_neighbors,param_num_leaves,param_penalty,param_reg_alpha,param_reg_lambda,param_solver,param_subsample,param_weights
LogisticRegression,NoScaling,f1,0.588,2025-06-23T16:47:47,,0.171,,,,,,,,,,,,1356,,,,,,,l2,,,saga,,
LogisticRegression,StandardScaler,f1,0.591,2025-06-23T16:47:54,,0.171,,,,,,,,,,,,1356,,,,,,,l2,,,saga,,
LogisticRegression,MinMaxScaler,f1,0.593,2025-06-23T16:48:46,,3.437,,,,,,,,,,,,1371,,,,,,,l1,,,saga,,
DecisionTreeClassifier,NoScaling,f1,0.544,2025-06-23T16:48:48,,,,,,entropy,,,,,,13,sqrt,,,8,5,,,,,,,,,
DecisionTreeClassifier,StandardScaler,f1,0.525,2025-06-23T16:48:50,,,,,,log_loss,,,,,,17,sqrt,,,8,8,,,,,,,,,
DecisionTreeClassifier,MinMaxScaler,f1,0.526,2025-06-23T16:48:53,,,,,,log_loss,,,,,,16,sqrt,,,4,19,,,,,,,,,
RandomForestClassifier,NoScaling,f1,0.755,2025-06-23T16:49:35,,,,,,log_loss,,,,,,12,sqrt,,,8,5,123,,,,,,,,
RandomForestClassifier,StandardScaler,f1,0.745,2025-06-23T16:50:20,,,,,,log_loss,,,,,,16,sqrt,,,8,8,141,,,,,,,,
RandomForestClassifier,MinMaxScaler,f1,0.753,2025-06-23T16:51:04,,,,,,log_loss,,,,,,16,sqrt,,,8,8,141,,,,,,,,
XGBClassifier,NoScaling,f1,0.757,2025-06-23T16:51:18,,,,,0.882,,,1.38,,,0.158,15,,,,,,114,,,,0.016,0.423,,0.818,
XGBClassifier,StandardScaler,f1,0.754,2025-06-23T16:51:31,,,,,0.882,,,1.38,,,0.158,15,,,,,,114,,,,0.016,0.423,,0.818,
XGBClassifier,MinMaxScaler,f1,0.752,2025-06-23T16:51:39,,,,,0.788,,,1.832,,,0.238,17,,,,,,495,,,,0.2,0.514,,0.878,
LightGBM,NoScaling,f1,0.778,2025-06-23T16:52:30,,,,0.6,,,0.757,,,,0.306,7,,,,,,356,,37,,0.171,0.065,,,
LightGBM,StandardScaler,f1,0.781,2025-06-23T16:53:23,,,,0.6,,,0.757,,,,0.306,7,,,,,,356,,37,,0.171,0.065,,,
LightGBM,MinMaxScaler,f1,0.785,2025-06-23T16:54:15,,,,0.6,,,0.757,,,,0.306,7,,,,,,356,,37,,0.171,0.065,,,
SVC,StandardScaler,f1,0.71,2025-06-23T16:57:52,,8.424,,,,,,auto,rbf,,,,,,,,,,,,,,,,,
SVC,MinMaxScaler,f1,0.705,2025-06-23T17:11:12,,1.66,,,,,,scale,poly,,,,,,,,,,,,,,,,,
KNeighborsClassifier,NoScaling,f1,0.628,2025-06-23T17:11:15,,,auto,,,,,,,30,,,,,euclidean,,,,12,,,,,,,uniform
KNeighborsClassifier,StandardScaler,f1,0.578,2025-06-23T17:11:17,,,brute,,,,,,,33,,,,,euclidean,,,,8,,,,,,,uniform
KNeighborsClassifier,MinMaxScaler,f1,0.575,2025-06-23T17:11:22,,,ball_tree,,,,,,,31,,,,,euclidean,,,,14,,,,,,,uniform
