model,scaler,balancing name,time_training,accuracy_score,precision_score,recall_score,f1_score,roc_auc_score,best_params
LogisticRegression,StandardScaler,SMOTE,2.1948928833007812,0.8365893797348903,0.8372229887867364,0.8365893797348903,0.8365124896398596,0.9033300406256319,"{'clf__C': np.float64(0.30584494295802445), 'clf__max_iter': 1269, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
LogisticRegression,MinMaxScaler,SMOTE,5.174168825149536,0.8374032492457003,0.8380898468057459,0.8374032492457003,0.8373204964748198,0.9025084665909319,"{'clf__C': np.float64(1.6599452033620266), 'clf__max_iter': 830, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
LogisticRegression,None,SMOTE,1.2992968559265137,0.8364016255047855,0.8370178717426654,0.8364016255047855,0.8363268550664893,0.903433261597099,"{'clf__C': np.float64(0.30584494295802445), 'clf__max_iter': 1269, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
LogisticRegression,StandardScaler,RandomOverSampler,0.659358024597168,0.8335222830757593,0.8340233670804077,0.8335222830757593,0.8334603339127881,0.8975318328178957,"{'clf__C': np.float64(1.6599452033620266), 'clf__max_iter': 830, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
LogisticRegression,MinMaxScaler,RandomOverSampler,6.230961322784424,0.8345866810128145,0.835149543022963,0.8345866810128145,0.8345173787320241,0.896743553842939,"{'clf__C': np.float64(3.845401188473625), 'clf__max_iter': 1360, 'clf__penalty': 'l2', 'clf__solver': 'saga'}"
LogisticRegression,None,RandomOverSampler,0.9346137046813965,0.8336475570881632,0.8341694806517761,0.8336475570881632,0.8335832138856535,0.8975827098817909,"{'clf__C': np.float64(7.896910002727692), 'clf__max_iter': 1544, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
LogisticRegression,StandardScaler,RandomUnderSampler,0.2079000473022461,0.8170455512984249,0.8179013045604883,0.8170455512984249,0.8169086126536577,0.8851456076714953,"{'clf__C': np.float64(0.30584494295802445), 'clf__max_iter': 1269, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
LogisticRegression,MinMaxScaler,RandomUnderSampler,0.29166102409362793,0.8190172109712339,0.8201208627145167,0.8190172109712339,0.8188484164257901,0.8834318851332343,"{'clf__C': np.float64(1.6599452033620266), 'clf__max_iter': 830, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}"
LogisticRegression,None,RandomUnderSampler,0.22375082969665527,0.8165553731070974,0.817487668184819,0.8165553731070974,0.8164069236061868,0.8860754487688813,"{'clf__C': np.float64(0.30584494295802445), 'clf__max_iter': 1269, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}"
KNeighborsClassifier,StandardScaler,SMOTE,2.8532700538635254,0.9259329160799347,0.9328132866363585,0.9259329160799347,0.9256362761387795,0.9872190185819031,"{'clf__algorithm': 'brute', 'clf__leaf_size': 33, 'clf__metric': 'euclidean', 'clf__n_neighbors': 8, 'clf__weights': 'uniform'}"
KNeighborsClassifier,MinMaxScaler,SMOTE,2.889011859893799,0.9257452598426431,0.9326040004671006,0.9257452598426431,0.9254488652809417,0.9874296192236885,"{'clf__algorithm': 'brute', 'clf__leaf_size': 33, 'clf__metric': 'euclidean', 'clf__n_neighbors': 8, 'clf__weights': 'uniform'}"
KNeighborsClassifier,None,SMOTE,1.932978868484497,0.9413975735019593,0.9456588215309113,0.9413975735019593,0.9412567024293361,0.99129479767934,"{'clf__algorithm': 'brute', 'clf__leaf_size': 33, 'clf__metric': 'euclidean', 'clf__n_neighbors': 8, 'clf__weights': 'uniform'}"
