model,scaler,balancing name,time_training,accuracy_score,precision_score,recall_score,f1_score,roc_auc_score
LogisticRegression,StandardScaler,SMOTE,0.010137081146240234,0.8362137928804302,0.8368133456162322,0.8362137928804302,0.8361410326686836,0.9034481567024579
LogisticRegression,MinMaxScaler,SMOTE,0.018162012100219727,0.836777192760683,0.8375087429015592,0.836777192760683,0.8366885551588004,0.9021669765891451
LogisticRegression,None,SMOTE,0.012335062026977539,0.8360258818618241,0.8366396092179886,0.8360258818618241,0.8359510761427312,0.9034929810425936
LogisticRegression,StandardScaler,RandomOverSampler,0.010783910751342773,0.8328961481964912,0.8334666412687634,0.8328961481964912,0.8328251472528377,0.8975255675095184
LogisticRegression,MinMaxScaler,RandomOverSampler,0.010128021240234375,0.8311431351624672,0.8318636082861438,0.8311431351624672,0.8310519117590103,0.8960350688869927
LogisticRegression,None,RandomOverSampler,0.011675119400024414,0.833522302674322,0.8340370117521644,0.833522302674322,0.8334586713249681,0.8975576241608103
LogisticRegression,StandardScaler,RandomUnderSampler,0.003017902374267578,0.8160639785927144,0.8168420783469983,0.8160639785927144,0.8159388811448911,0.8858993121035512
LogisticRegression,MinMaxScaler,RandomUnderSampler,0.0039520263671875,0.8170467676214803,0.8181061805805104,0.8170467676214803,0.8168878980272973,0.882478810622211
LogisticRegression,None,RandomUnderSampler,0.0028290748596191406,0.8160639785927142,0.8169807984108453,0.8160639785927142,0.8159166609128923,0.8857355009203266
KNeighborsClassifier,StandardScaler,SMOTE,0.0025739669799804688,0.9182947682616958,0.929184381629371,0.9182947682616958,0.9177714248820056,0.9820548162529349
KNeighborsClassifier,MinMaxScaler,SMOTE,0.0025348663330078125,0.9202354375330113,0.9306783542135477,0.9202354375330113,0.9197459307643697,0.982714099794652
KNeighborsClassifier,None,SMOTE,0.0011920928955078125,0.93532401813651,0.9419666636040054,0.93532401813651,0.9350769496826621,0.9865633557262357
KNeighborsClassifier,StandardScaler,RandomOverSampler,0.0023751258850097656,0.941146888287213,0.9444520167765857,0.941146888287213,0.9410371683565144,0.9793011383600551
KNeighborsClassifier,MinMaxScaler,RandomOverSampler,0.002302885055541992,0.9402705385587021,0.9436059564005548,0.9402705385587021,0.9401572238241341,0.9795204262388715
KNeighborsClassifier,None,RandomOverSampler,0.0012600421905517578,0.9480967737826107,0.9503564858863964,0.9480967737826107,0.9480312897004699,0.9841947747455722
KNeighborsClassifier,StandardScaler,RandomUnderSampler,0.00115203857421875,0.8353122909444748,0.8392592528003997,0.8353122909444748,0.8348410756304638,0.8834286415853116
KNeighborsClassifier,MinMaxScaler,RandomUnderSampler,0.001146078109741211,0.8244639056133309,0.8290707409403275,0.8244639056133309,0.8238642649889781,0.8787215447745362
KNeighborsClassifier,None,RandomUnderSampler,0.0006210803985595703,0.8584783798576903,0.8653724162381563,0.8584783798576903,0.8578071614497016,0.906596643672715
