model,scaler,balancing_name,training_time,f1,best_params
LogisticRegression,passthrough,passthrough,139.86922073364258,0.6129677266981419,"{'clf__C': np.float64(1.9768280159347906), 'clf__max_iter': 905, 'clf__penalty': 'l1', 'clf__random_state': 42, 'clf__solver': 'saga'}"
LogisticRegression,passthrough,RandomOverSampler,147.62287998199463,0.5394542710341336,"{'clf__C': np.float64(0.5960236877829527), 'clf__max_iter': 841, 'clf__penalty': 'l1', 'clf__random_state': 42, 'clf__solver': 'liblinear'}"
LogisticRegression,passthrough,RandomUnderSampler,141.9984006881714,0.5347737166668646,"{'clf__C': np.float64(0.206485298379142), 'clf__max_iter': 1007, 'clf__penalty': 'l1', 'clf__random_state': 42, 'clf__solver': 'liblinear'}"
LogisticRegression,passthrough,SMOTE,146.13280177116394,0.5463492495633083,"{'clf__C': np.float64(5.826379919383658), 'clf__max_iter': 1717, 'clf__penalty': 'l2', 'clf__random_state': 42, 'clf__solver': 'saga'}"
LogisticRegression,StandardScaler,passthrough,147.57295727729797,0.6129677266981419,"{'clf__C': np.float64(4.396105273185464), 'clf__max_iter': 1704, 'clf__penalty': 'l1', 'clf__random_state': 42, 'clf__solver': 'liblinear'}"
LogisticRegression,StandardScaler,RandomOverSampler,151.09170007705688,0.5394489659696925,"{'clf__C': np.float64(1.0260883335135262), 'clf__max_iter': 1499, 'clf__penalty': 'l2', 'clf__random_state': 42, 'clf__solver': 'liblinear'}"
LogisticRegression,StandardScaler,RandomUnderSampler,185.51713800430298,0.5340034388931073,"{'clf__C': np.float64(4.988303430878329), 'clf__max_iter': 1592, 'clf__penalty': 'l2', 'clf__random_state': 42, 'clf__solver': 'saga'}"
LogisticRegression,StandardScaler,SMOTE,195.44550108909607,0.5468358965127782,"{'clf__C': np.float64(0.45568004525163175), 'clf__max_iter': 1044, 'clf__penalty': 'l2', 'clf__random_state': 42, 'clf__solver': 'saga'}"
LogisticRegression,MinMaxScaler,passthrough,146.9291751384735,0.6086643102275129,"{'clf__C': np.float64(5.20427736902518), 'clf__max_iter': 1960, 'clf__penalty': 'l1', 'clf__random_state': 42, 'clf__solver': 'saga'}"
LogisticRegression,MinMaxScaler,RandomOverSampler,262.5187032222748,0.5396184374928201,"{'clf__C': np.float64(5.238039849783685), 'clf__max_iter': 1124, 'clf__penalty': 'l1', 'clf__random_state': 42, 'clf__solver': 'liblinear'}"
LogisticRegression,MinMaxScaler,RandomUnderSampler,142.76799488067627,0.5333876124525007,"{'clf__C': np.float64(1.5117425616579294), 'clf__max_iter': 1418, 'clf__penalty': 'l1', 'clf__random_state': 42, 'clf__solver': 'liblinear'}"
LogisticRegression,MinMaxScaler,SMOTE,233.85956025123596,0.5482774365200644,"{'clf__C': np.float64(3.5830129544871925), 'clf__max_iter': 526, 'clf__penalty': 'l2', 'clf__random_state': 42, 'clf__solver': 'liblinear'}"
