timestamp,model,scaler,accuracy,precision,recall,f1,roc_auc,fit_time,score_time
2025-06-23T16:47:41.089877,LogisticRegression,NoScaling,0.871,0.467,0.792,0.587,0.896,0.112,0.023
2025-06-23T16:47:47.628073,LogisticRegression,StandardScaler,0.873,0.472,0.791,0.591,0.896,0.08,0.055
2025-06-23T16:47:54.669686,LogisticRegression,MinMaxScaler,0.872,0.468,0.798,0.589,0.896,0.211,0.057
2025-06-23T16:48:46.783307,DecisionTreeClassifier,NoScaling,0.866,0.443,0.639,0.523,0.767,0.455,0.043
2025-06-23T16:48:49.058253,DecisionTreeClassifier,StandardScaler,0.867,0.448,0.647,0.529,0.771,0.457,0.055
2025-06-23T16:48:51.367009,DecisionTreeClassifier,MinMaxScaler,0.864,0.441,0.656,0.527,0.774,0.451,0.05
2025-06-23T16:48:57.883775,RandomForestClassifier,NoScaling,0.948,0.808,0.722,0.762,0.912,4.614,0.107
2025-06-23T16:49:40.620468,RandomForestClassifier,StandardScaler,0.947,0.79,0.732,0.759,0.915,4.636,0.106
2025-06-23T16:50:24.881833,RandomForestClassifier,MinMaxScaler,0.946,0.798,0.713,0.751,0.915,4.642,0.109
2025-06-23T16:51:06.085867,XGBClassifier,NoScaling,0.946,0.785,0.731,0.756,0.913,0.946,0.066
2025-06-23T16:51:19.771200,XGBClassifier,StandardScaler,0.948,0.782,0.758,0.769,0.916,0.802,0.054
2025-06-23T16:51:32.277688,XGBClassifier,MinMaxScaler,0.945,0.775,0.738,0.755,0.916,0.635,0.053
2025-06-23T16:51:41.460470,LightGBM,NoScaling,0.942,0.747,0.751,0.749,0.91,1.748,0.034
2025-06-23T16:52:32.105546,LightGBM,StandardScaler,0.941,0.738,0.758,0.747,0.917,1.837,0.057
2025-06-23T16:53:24.663129,LightGBM,MinMaxScaler,0.941,0.742,0.753,0.747,0.913,1.488,0.063
2025-06-23T16:54:15.625934,NaiveBayes,NoScaling,0.845,0.407,0.747,0.527,0.874,0.058,0.046
2025-06-23T16:54:15.787637,NaiveBayes,StandardScaler,0.845,0.409,0.764,0.533,0.876,0.073,0.051
2025-06-23T16:54:15.948949,NaiveBayes,MinMaxScaler,0.845,0.409,0.764,0.532,0.876,0.07,0.052
2025-06-23T16:54:28.702269,SVC,StandardScaler,0.94,0.735,0.761,0.747,0.916,11.109,0.805
2025-06-23T16:58:06.885220,SVC,MinMaxScaler,0.941,0.737,0.769,0.752,0.916,11.013,0.925
2025-06-23T17:11:13.163333,KNeighborsClassifier,NoScaling,0.873,0.472,0.779,0.587,0.882,0.067,0.397
2025-06-23T17:11:16.352917,KNeighborsClassifier,StandardScaler,0.856,0.433,0.782,0.557,0.87,0.037,0.428
2025-06-23T17:11:18.326255,KNeighborsClassifier,MinMaxScaler,0.856,0.432,0.772,0.553,0.874,0.037,0.199
